id,city,home,away
1,Auckland,A1,A2
2,Sydney,B1,B2
3,Dunedin,A3,A4
4,Melbourne,B3,B4
5,Wellington,C1,C2
6,Auckland,E1,E2
7,Hamilton,C3,C4
8,Brisbane,D1,D2
9,Perth,D3,D4
10,Sydney,F1,F2
11,Dunedin,E3,E4
12,Wellington,G1,G2
13,Auckland,G3,G4
14,Melbourne,H1,H2
15,Adelaide,F3,F4
16,Sydney,H3,H4
17,Wellington,A1,A3
18,Hamilton,A4,A2
19,Auckland,C1,C3
20,Dunedin,C4,C2
21,Perth,B4,B2
22,Wellington,E1,E3
23,Hamilton,E4,E2
24,Brisbane,B1,B3
25,Sydney,D1,D3
26,Dunedin,G4,G2
27,Adelaide,D4,D2
28,Wellington,G1,G3
29,Brisbane,F1,F3
30,Perth,F4,F2
31,Auckland,A2,A3
32,Sydney,H1,H3
33,Dunedin,A4,A1
34,Adelaide,H4,H2
35,Melbourne,B4,B1
36,Wellington,C4,C1
37,Hamilton,C2,C3
38,Brisbane,B2,B3
39,Auckland,E4,E1
40,Dunedin,E2,E3
41,Perth,D2,D3
42,Adelaide,D4,D1
43,Sydney,F4,F1
44,Melbourne,F2,F3
45,Wellington,G2,G3
46,Hamilton,G4,G1
47,Brisbane,H4,H1
48,Perth,H2,H3
